Cutoff Height (m),,TOTAL - Total number of soundings,TOTAL - Successful inversion count,TOTAL - No inversion count,TOTAL - False positive count,TOTAL - False negative count,TOTAL - Percent Successful (overall),TOTAL - Percent Successful (inversions only),,KUNR - Total number of soundings,KUNR - Successful inversion count,KUNR - No inversion count,KUNR - False positive count,KUNR - False negative count,KUNR - Percent Successful (overall),KUNR - Percent Successful (inversions only),,KRIW - Total number of soundings,KRIW - Successful inversion count,KRIW - No inversion count,KRIW - False positive count,KRIW - False negative count,KRIW - Percent Successful (overall),KRIW - Percent Successful (inversions only),,KGGW - Total number of soundings,KGGW - Successful inversion count,KGGW - No inversion count,KGGW - False positive count,KGGW - False negative count,KGGW - Percent Successful (overall),KGGW - Percent Successful (inversions only),,KDNR - Total number of soundings,KDNR - Successful inversion count,KDNR - No inversion count,KDNR - False positive count,KDNR - False negative count,KDNR - Percent Successful (overall),KDNR - Percent Successful (inversions only),
1600,,16861,7098,5278,814,3671,73.4,65.91,,4312,1613,1183,236,1280,64.84,55.76,,4332,1702,1416,254,960,71.98,63.94,,4327,2265,1159,171,732,79.13,75.58,,3890,1518,1520,153,699,78.1,68.47,
1500,,16861,7082,5375,798,3606,73.88,66.26,,4312,1607,1219,226,1260,65.54,56.05,,4332,1708,1429,247,948,72.41,64.31,,4327,2262,1191,165,709,79.8,76.14,,3890,1505,1536,160,689,78.17,68.6,
1400,,16861,7047,5506,797,3511,74.45,66.75,,4312,1586,1254,233,1239,65.86,56.14,,4332,1714,1451,241,926,73.06,64.92,,4327,2255,1218,168,686,80.26,76.67,,3890,1492,1583,155,660,79.05,69.33,
1300,,16861,6996,5640,806,3419,74.94,67.17,,4312,1577,1297,232,1206,66.65,56.67,,4332,1702,1477,251,902,73.38,65.36,,4327,2239,1265,159,664,80.98,77.13,,3890,1478,1601,164,647,79.15,69.55,
1200,,16861,6964,5774,774,3349,75.55,67.53,,4312,1558,1349,218,1187,67.42,56.76,,4332,1706,1495,243,888,73.89,65.77,,4327,2226,1296,161,644,81.4,77.56,,3890,1474,1634,152,630,79.9,70.06,
1100,,16861,6903,5920,772,3266,76.05,67.88,,4312,1541,1406,217,1148,68.34,57.31,,4332,1707,1513,235,877,74.33,66.06,,4327,2202,1341,174,610,81.88,78.31,,3890,1453,1660,146,631,80.03,69.72,
1000,,16861,6853,6051,743,3214,76.53,68.07,,4312,1518,1458,215,1121,69.02,57.52,,4332,1714,1537,219,862,75.05,66.54,,4327,2184,1391,158,594,82.62,78.62,,3890,1437,1665,151,637,79.74,69.29,
900,,16861,6769,6192,723,3177,76.87,68.06,,4312,1481,1510,195,1126,69.36,56.81,,4332,1722,1556,208,846,75.67,67.06,,4327,2149,1431,170,577,82.74,78.83,,3890,1417,1695,150,628,80.0,69.29,
800,,16861,6699,6346,691,3125,77.37,68.19,,4312,1453,1562,201,1096,69.92,57.0,,4332,1723,1582,193,834,76.29,67.38,,4327,2128,1468,154,577,83.11,78.67,,3890,1395,1734,143,618,80.44,69.3,
700,,16861,6599,6548,627,3087,77.97,68.13,,4312,1401,1633,181,1097,70.36,56.08,,4332,1743,1609,163,817,77.38,68.09,,4327,2083,1542,135,567,83.78,78.6,,3890,1372,1764,148,606,80.62,69.36,
600,,16861,6542,6742,556,3021,78.79,68.41,,4312,1369,1697,156,1090,71.1,55.67,,4332,1764,1628,137,803,78.3,68.72,,4327,2063,1595,130,539,84.54,79.29,,3890,1346,1822,133,589,81.44,69.56,
500,,16861,6425,6894,541,3001,78.99,68.16,,4312,1322,1740,170,1080,71.01,55.04,,4332,1775,1638,119,800,78.79,68.93,,4327,2007,1664,115,541,84.84,78.77,,3890,1321,1852,137,580,81.57,69.49,
